name,eval_task_name,model_name,task_name,epochs,batch_size,learning_rate,weight_decay,warmup_steps,max_seq_length,do_lower_case,training_time,accuracy,eval_time,z_amb_precision,z_amb_recall,z_amb_f1-score,z_amb_support,z_minus_m_precision,z_minus_m_recall,z_minus_m_f1-score,z_minus_m_support,z_plus_m_precision,z_plus_m_recall,z_plus_m_f1-score,z_plus_m_support,z_zero_precision,z_zero_recall,z_zero_f1-score,z_zero_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,model_size,memory,parameters
multiemo_en_products_sentence-run-5,multiemo_en_products_sentence,bert-base-uncased,multiemo_en_products_sentence,4,16,5e-05,0.01,0,128,True,198.556143,0.6913746630727763,1.683343,0.3860759493670886,0.46564885496183206,0.42214532871972316,131,0.7888563049853372,0.7819767441860465,0.7854014598540144,344,0.8042328042328042,0.7835051546391752,0.793733681462141,194,0.5740740740740741,0.4246575342465753,0.4881889763779527,73,0.638309783164826,0.6139470720084073,0.6223673616034578,742,0.7006348917932831,0.6913746630727763,0.694206562980203,742,438025389,437945360,109485316
multiemo_en_reviews_sentence-run-1,multiemo_en_reviews_sentence,bert-base-uncased,multiemo_en_reviews_sentence,4,16,5e-05,0.01,0,128,True,85.630364,0.6363636363636364,0.774392,0.66,0.6,0.6285714285714286,110,0.575,0.575,0.575,40,0.6435643564356436,0.7558139534883721,0.695187165775401,86,0.5833333333333334,0.4117647058823529,0.4827586206896552,17,0.6154744224422443,0.5856446648426812,0.5953793037591212,253,0.6358229301190989,0.6363636363636364,0.6329480235227896,253,438025389,437945360,109485316
multiemo_en_reviews_sentence-run-2,multiemo_en_reviews_sentence,bert-base-uncased,multiemo_en_reviews_sentence,4,16,5e-05,0.01,0,128,True,89.426686,0.6086956521739131,0.722814,0.6388888888888888,0.6272727272727273,0.6330275229357798,110,0.6071428571428571,0.425,0.5,40,0.6262626262626263,0.7209302325581395,0.6702702702702703,86,0.3333333333333333,0.35294117647058826,0.34285714285714286,17,0.5514069264069265,0.5315360340753638,0.5365387340157982,253,0.6090464212993856,0.6086956521739131,0.6051574790306342,253,438025389,437945360,109485316
multiemo_en_reviews_sentence-run-3,multiemo_en_reviews_sentence,bert-base-uncased,multiemo_en_reviews_sentence,4,16,5e-05,0.01,0,128,True,88.890935,0.5968379446640316,0.708255,0.6320754716981132,0.6090909090909091,0.6203703703703703,110,0.5625,0.45,0.5,40,0.5980392156862745,0.7093023255813954,0.648936170212766,86,0.38461538461538464,0.29411764705882354,0.33333333333333337,17,0.544307517999943,0.5156277204327819,0.5256599684791174,253,0.5928780078034529,0.5968379446640316,0.5917625219197836,253,438025389,437945360,109485316
multiemo_en_reviews_sentence-run-4,multiemo_en_reviews_sentence,bert-base-uncased,multiemo_en_reviews_sentence,4,16,5e-05,0.01,0,128,True,88.812145,0.6205533596837944,0.74854,0.6538461538461539,0.6181818181818182,0.6355140186915889,110,0.6470588235294118,0.55,0.5945945945945946,40,0.6444444444444445,0.6744186046511628,0.6590909090909091,86,0.36,0.5294117647058824,0.42857142857142855,17,0.5763373554550025,0.5930030468847158,0.5794427377371303,253,0.6298326169425914,0.6205533596837944,0.6231535901477906,253,438025389,437945360,109485316
multiemo_en_reviews_sentence-run-5,multiemo_en_reviews_sentence,bert-base-uncased,multiemo_en_reviews_sentence,4,16,5e-05,0.01,0,128,True,83.057984,0.6324110671936759,0.768569,0.7222222222222222,0.5909090909090909,0.65,110,0.5555555555555556,0.625,0.5882352941176471,40,0.6530612244897959,0.7441860465116279,0.6956521739130435,86,0.3,0.35294117647058826,0.3243243243243243,17,0.5577097505668933,0.5782590784728268,0.5645529480887537,253,0.6439918259794035,0.6324110671936759,0.6338696135760519,253,438025389,437945360,109485316
multiemo_en_Nhotels_sentence-run-1,multiemo_en_hotels_sentence,distilbert-base-uncased,multiemo_en_Nhotels_sentence,4,16,5e-05,0.01,0,128,True,448.434883,0.7295774647887324,2.561089,0.6143790849673203,0.32752613240418116,0.42727272727272725,287,0.8446088794926004,0.7734753146176185,0.8074785245073269,1033,0.7091121495327103,0.8383977900552486,0.7683544303797469,724,0.590566037735849,0.7097505668934241,0.6446961894953656,441,0.6896665379321201,0.6622874509926181,0.6619504679137918,2485,0.7334585870441322,0.7295774647887324,0.7232805697004968,2485,267866225,267826192,66956548
multiemo_en_Nhotels_sentence-run-2,multiemo_en_hotels_sentence,distilbert-base-uncased,multiemo_en_Nhotels_sentence,4,16,5e-05,0.01,0,128,True,448.254323,0.7235412474849094,2.55047,0.5689655172413793,0.45993031358885017,0.508670520231214,287,0.8425821064552661,0.7202323330106486,0.7766179540709812,1033,0.7238542890716804,0.850828729281768,0.7822222222222222,724,0.5895953757225434,0.6938775510204082,0.6375000000000001,441,0.6812493221227173,0.6812172317254187,0.6762526741311043,2485,0.7314939579066816,0.7235412474849094,0.7226161669016382,2485,267866225,267826192,66956548
multiemo_en_Nhotels_sentence-run-3,multiemo_en_hotels_sentence,distilbert-base-uncased,multiemo_en_Nhotels_sentence,4,16,5e-05,0.01,0,128,True,447.395135,0.7255533199195171,2.507865,0.5882352941176471,0.4181184668989547,0.4887983706720978,287,0.8287234042553191,0.7541142303969022,0.7896604156107451,1033,0.769433465085639,0.8066298342541437,0.7875927174645989,724,0.5498281786941581,0.7256235827664399,0.6256109481915934,441,0.6840550855381908,0.67612152857911,0.6729156129847588,2485,0.7341806283837568,0.7255533199195171,0.7251975441873859,2485,267866225,267826192,66956548
multiemo_en_Nhotels_sentence-run-4,multiemo_en_hotels_sentence,distilbert-base-uncased,multiemo_en_Nhotels_sentence,4,16,5e-05,0.01,0,128,True,453.374125,0.7142857142857143,2.527189,0.46048109965635736,0.46689895470383275,0.46366782006920415,287,0.8333333333333334,0.7308809293320426,0.778751933986591,1033,0.7675033025099075,0.8024861878453039,0.7846049966239027,724,0.5743879472693032,0.691609977324263,0.6275720164609053,441,0.6589264206922254,0.6729690123013605,0.6636491917851508,2485,0.7251383841841624,0.7142857142857143,0.717238104218501,2485,267866225,267826192,66956548
multiemo_en_Nhotels_sentence-run-5,multiemo_en_hotels_sentence,distilbert-base-uncased,multiemo_en_Nhotels_sentence,4,16,5e-05,0.01,0,128,True,447.553946,0.7054325955734406,2.545317,0.5207547169811321,0.4808362369337979,0.5,287,0.8448883666274971,0.6960309777347532,0.7632696390658174,1033,0.761455525606469,0.7803867403314917,0.7708049113233288,724,0.5279106858054227,0.7505668934240363,0.6198501872659176,441,0.6637523237551302,0.6769552121060197,0.6634811844137659,2485,0.7268928368125007,0.7054325955734406,0.7096073342202611,2485,267866225,267826192,66956548
